DATE,SP500
2021-01-01,3737.6275000000000000
2021-01-08,3760.8240000000000000
2021-01-15,3794.8860000000000000
2021-01-22,3836.3250000000000000
2021-01-29,3791.4740000000000000
2021-02-05,3837.7820000000000000
2021-02-12,3917.5820000000000000
2021-02-19,3921.1500000000000000
2021-02-26,3864.7580000000000000
2021-03-05,3840.4480000000000000
2021-03-12,3895.6560000000000000
2021-03-19,3946.8660000000000000
2021-03-26,3924.8620000000000000
2021-04-02,3980.6000000000000000
2021-04-09,4091.5540000000000000
2021-04-16,4150.0260000000000000
2021-04-23,4157.3540000000000000
2021-04-30,4190.0320000000000000
2021-05-07,4191.8260000000000000
2021-05-14,4137.9840000000000000
2021-05-21,4144.3560000000000000
2021-05-28,4197.2320000000000000
2021-06-04,4208.2250000000000000
2021-06-11,4231.9900000000000000
2021-06-18,4222.7500000000000000
2021-06-25,4252.0520000000000000
2021-07-02,4310.4380000000000000
2021-07-09,4348.0100000000000000
2021-07-16,4363.0660000000000000
2021-07-23,4343.9020000000000000
2021-07-30,4407.7620000000000000
2021-08-06,4415.7180000000000000
2021-08-13,4449.1260000000000000
2021-08-20,4435.1060000000000000
2021-08-27,4488.2640000000000000
2021-09-03,4529.5880000000000000
2021-09-10,4496.4900000000000000
2021-09-17,4459.8440000000000000
2021-09-24,4402.4040000000000000
2021-10-01,4363.9560000000000000
2021-10-08,4360.1660000000000000
2021-10-15,4397.0540000000000000
2021-10-22,4527.3920000000000000
2021-10-29,4578.9500000000000000
2021-11-05,4646.2375000000000000
